标题： 大爆炸已整理 	 链接：http://tieba.baidu.com//p/6628777235 	 发帖人：1469053946RA 	 发帖时间：17:12 	 回复数量： 1 
标题： 『生活大爆炸』1-12季蓝光无删减整理了！速度来取，适合收藏 	 链接：http://tieba.baidu.com//p/6621086032 	 发帖人：波克比 	 发帖时间：4-16 	 回复数量： 4 
标题： 生活大爆炸里的penny真是典型的**啊。。 	 链接：http://tieba.baidu.com//p/6259693088 	 发帖人：拉娜不语... 	 发帖时间：2019-09 	 回复数量： 16 
标题： 《生活大爆炸》有望续订在今年的2018美国电视评论人协会(T 	 链接：http://tieba.baidu.com//p/5831611392 	 发帖人：玺子 	 发帖时间：2018-08 	 回复数量： 19 
标题： 理论+实验，广州雅丝丽生物科技有限公司实力强 	 链接：http://tieba.baidu.com//p/6383082946 	 发帖人：黄冰蒙 	 发帖时间：2019-12 	 回复数量： 2 
标题： 越来越多的年轻人挑选了边作业边创业，为自己的人生，多开一扇窗 	 链接：http://tieba.baidu.com//p/6626761882 	 发帖人：苏维钟 	 发帖时间：4-18 	 回复数量： 0 
标题： 没毛病，老铁 	 链接：http://tieba.baidu.com//p/6626547030 	 发帖人：贴吧用户_... 	 发帖时间：4-18 	 回复数量： 0 
标题： 看谢尔顿结婚和Lenard那段差点哭了，纵使Lenard一直 	 链接：http://tieba.baidu.com//p/6626621686 	 发帖人：ColinS 	 发帖时间：4-18 	 回复数量： 1 
标题： 请问这张图出自哪季哪一集？ 	 链接：http://tieba.baidu.com//p/6621197485 	 发帖人：tony73000 	 发帖时间：4-16 	 回复数量： 2 
标题： Shelton做了个假视频（视频是他在研究平行宇宙和黑洞）来 	 链接：http://tieba.baidu.com//p/6626363572 	 发帖人：喜欢EMMA_ 	 发帖时间：4-18 	 回复数量： 0 
标题： 有小姐姐用净研氏益生菌爽肤水吗怎么样呢？ 	 链接：http://tieba.baidu.com//p/6625205640 	 发帖人：聂旧呐 	 发帖时间：4-17 	 回复数量： 1 
标题： 第九季的克莱尔也太好看了吧 	 链接：http://tieba.baidu.com//p/6596918435 	 发帖人：Cris 	 发帖时间：4-4 	 回复数量： 2 
标题： 请问一下，继续教育学院可以转本部嘛？我一朋友当时前两年报的这 	 链接：http://tieba.baidu.com//p/6628886295 	 发帖人：纠结者... 	 发帖时间：18:18 	 回复数量： 0 
标题： 想知道这个注册码是多少，，，求助 呜呜呜 	 链接：http://tieba.baidu.com//p/6628998058 	 发帖人：一只孤独兽 	 发帖时间：19:30 	 回复数量： 0 
